127.0.0.1 - - [12/Apr/2018:11:50:18 +0530] "GET / HTTP/1.1" 404 1074
172.16.201.248 - - [12/Apr/2018:11:50:23 +0530] "OPTIONS /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 -
172.16.201.248 - - [12/Apr/2018:11:50:24 +0530] "POST /SHW-rest/rest/panelAssignee/panellogin HTTP/1.1" 200 140
172.16.201.248 - - [12/Apr/2018:11:50:25 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [12/Apr/2018:11:50:25 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [12/Apr/2018:11:50:25 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1539
172.16.201.248 - - [12/Apr/2018:11:50:25 +0530] "GET /SHW-rest/rest/rating/id/1574 HTTP/1.1" 200 575
172.16.201.248 - - [12/Apr/2018:11:50:44 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [12/Apr/2018:11:50:44 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [12/Apr/2018:11:50:44 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1539
172.16.201.248 - - [12/Apr/2018:11:50:44 +0530] "GET /SHW-rest/rest/rating/id/1574 HTTP/1.1" 200 575
172.16.201.248 - - [12/Apr/2018:11:50:50 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [12/Apr/2018:11:50:50 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [12/Apr/2018:11:50:50 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1539
172.16.201.248 - - [12/Apr/2018:11:50:50 +0530] "GET /SHW-rest/rest/rating/id/1574 HTTP/1.1" 200 575
172.16.201.74 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/candidate/candidatesToBeAssigned HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/candidate/candidatesRegistered HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/candidate/candidateForsecondRound HTTP/1.1" 200 163
172.16.201.248 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1539
172.16.201.248 - - [12/Apr/2018:11:53:14 +0530] "GET /SHW-rest/rest/rating/id/1574 HTTP/1.1" 200 575
172.16.201.74 - - [12/Apr/2018:11:53:17 +0530] "GET /SHW-rest/rest/candidate/candidatesForSecondOpinion HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/candidate/candidatesForSecondOpinion HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/candidate/candidatesToBeAssigned HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/candidate/candidatesRegistered HTTP/1.1" 200 12
172.16.201.74 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/candidate/candidateForsecondRound HTTP/1.1" 200 163
172.16.201.248 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
172.16.201.248 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
172.16.201.248 - - [12/Apr/2018:11:53:24 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1539
