127.0.0.1 - - [02/Apr/2018:10:39:36 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:39:56 +0530] "OPTIONS /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:39:59 +0530] "POST /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:39:59 +0530] "POST /SHW-rest/rest/login/loginSuperAdmin HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:00 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:04 +0530] "OPTIONS /SHW-rest/rest/admin/deleteUserDetails HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:04 +0530] "POST /SHW-rest/rest/admin/deleteUserDetails HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:04 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:15 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:17 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:17 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:18 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:19 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:20 +0530] "GET /SHW-rest/rest/skill/getSkillLevel HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:21 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:23 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:23 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:24 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:24 +0530] "GET /SHW-rest/rest/panel/getAllPanelDetails HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:30 +0530] "GET /SHW-rest/rest/admin/getAllUserDetails HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:31 +0530] "GET /SHW-rest/rest/panel/getAllPanelDetails HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:31 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:33 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:33 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [02/Apr/2018:10:40:41 +0530] "GET /SHW-rest/rest/superadmin/getPersonalTraits HTTP/1.1" 200 253
